message,label
"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",not_spam
Ok,not_spam
Do not ignore this message; action is required immediately.,spam
Boo. How's things? I'm back at home and a little bored already :-(,not_spam
Your device may be infected. Install this security update.,spam
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",not_spam
PRIVATE! Your 2003 Account Statement for 078,spam
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,spam
"We are hoping to get away by 7, from Langport. You still up for town tonight?",not_spam
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam
Click to see who viewed your profile.,spam
SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,spam
"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",not_spam
Guaranteed acceptance for a personal loan.,spam
Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,spam
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,spam
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",spam
Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,not_spam
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,not_spam
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,not_spam
"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",not_spam
Is ur lecture over?,not_spam
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,not_spam
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Hot singles in your area want to meet you now.,spam
URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,spam
"K I'll head out in a few mins, see you there",not_spam
Ok lor... Or u wan me go look 4 u?,not_spam
What year. And how many miles.,not_spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
Free antivirus download available now.,spam
Shall i send that exe to your mail id.,not_spam
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,spam
Unlock premium movies free for 30 days.,spam
Reply STOP to unsubscribe from amazing offers.,spam
"K, wait chikku..il send aftr  &lt;#&gt; mins",not_spam
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,not_spam
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",not_spam
Please reply when you have a minute.,not_spam
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam
We found your missing water bottle in the gym.,not_spam
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam
Dear :-/ why you mood off. I cant drive so i brother to drive,not_spam
Dad went out oredi... ,not_spam
"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",spam
Tell me something. Thats okay.,not_spam
Going on nothing great.bye,not_spam
Congrats kano..whr s the treat maga?,not_spam
"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",spam
Can you call me when you get home?,not_spam
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,not_spam
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
I saved you a seat in the lecture hall.,not_spam
The store offered a deal on the supplies we need.,not_spam
Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam
"Hmph. Go head, big baller.",not_spam
Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,not_spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,spam
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
Free crypto giveaway! Connect your wallet to claim.,spam
Home so we can always chat,not_spam
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam
Your sweepstakes entry is a winner.,spam
"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",not_spam
The workshop starts in ten minutes.,not_spam
